jobid	cluster	jobstate	user	project	jobname	endtime	runtime	flag_list	booked	maxmem	core_list	node_list	file_list
20287436	rackham	TIMEOUT	saeeds	snic2021-5-248	'TEST2'	2021-06-03T01:29:38	08:00:02	.	10	17.4	10	r287	/sw/share/slurm/rackham/extended_uppmax_jobstats/r287/20287436
20287437	rackham	TIMEOUT	saeeds	snic2021-5-248	'TEST2'	2021-06-03T01:29:38	08:00:02	.	10	16.9	10	r380	/sw/share/slurm/rackham/extended_uppmax_jobstats/r380/20287437
20287438	rackham	TIMEOUT	saeeds	snic2021-5-248	'TEST2'	2021-06-03T01:29:38	08:00:02	.	10	17.5	10	r380	/sw/share/slurm/rackham/extended_uppmax_jobstats/r380/20287438
20287439	rackham	TIMEOUT	saeeds	snic2021-5-248	'TEST2'	2021-06-03T01:35:08	08:00:02	.	10	17.8	10	r149	/sw/share/slurm/rackham/extended_uppmax_jobstats/r149/20287439
20305290	rackham	COMPLETED	saeeds	snic2021-5-248	'TEST2'	2021-06-04T02:03:41	11:01:35	.	10	17.7	10	r80	/sw/share/slurm/rackham/extended_uppmax_jobstats/r80/20305290
20305292	rackham	COMPLETED	saeeds	snic2021-5-248	'TEST2'	2021-06-04T12:35:15	21:27:39	.	10	17.8	10	r194	/sw/share/slurm/rackham/extended_uppmax_jobstats/r194/20305292
20305293	rackham	COMPLETED	saeeds	snic2021-5-248	'TEST2'	2021-06-04T14:14:10	23:01:04	!! Swap space was used	10	17.8	10	r305	/sw/share/slurm/rackham/extended_uppmax_jobstats/r305/20305293
20305294	rackham	COMPLETED	saeeds	snic2021-5-248	'TEST2'	2021-06-04T14:25:08	23:12:02	.	10	17.8	10	r305	/sw/share/slurm/rackham/extended_uppmax_jobstats/r305/20305294
20305291	rackham	TIMEOUT	saeeds	snic2021-5-248	'TEST2'	2021-06-04T15:07:40	1-00:00:04	.	10	17.9	.	r66	.
20329988	rackham	CANCELLED	saeeds	snic2021-5-248	'TEST3'	.	00:00:00	not_run	0	.	.	.
20349677	rackham	COMPLETED	saeeds	snic2021-5-248	'anotherbatch'	2021-06-06T12:52:40	13:34:59	.	10	17.8	10	r290	/sw/share/slurm/rackham/extended_uppmax_jobstats/r290/20349677
